Bit,Source_File,Tag,Date_BestGuess
"Perspective: We’ve got his ambitions (authenticity, impact, transgression-as-truth), his fears (becoming too “good” to stay dangerous), and his tools (tangents, raw memory, semi-fictional mythologizing).",BENT N MORE.txt,Fiction,
"Opening scene(s): Peepers, the car, the sea-mine-eyed stud-guy turned salt-crying desert mystic. A soft-tissue continuation of the original story’s broken arc.",BENT N MORE.txt,Fiction,
"Narrative options: Flashback, flash-sideways, full throttle forward. All on the table.",BENT N MORE.txt,Fiction,
"We’ve got linked stylistic DNA from Myspace posts, unfinished vignettes, fiction fragments.",BENT N MORE.txt,Fiction,
"""Misspellings that whisper secrets.""",BENT N MORE.txt,Fiction,
"**""Fingertips""** is mentioned in the context of your 2005 creative activity but was posted on MySpace in **2007**.",GAPS_ROUGH.txt,Fiction,2005
"The story behind **""Microscope neck"" and Bill Shiller**.",GAPS_ROUGH.txt,Fiction,
"The ""story that started it all"" related to **""The Man Cage"" and COSI in the '90s**.",GAPS_ROUGH.txt,Fiction,
"The full story of **""making friends with Tina Cottone""**.",GAPS_ROUGH.txt,Fiction,
"**Project: ""Bent 'N' Dent 2""**: While the conceptual frame and opening scene are established, many of the proposed elements for the sequel are still placeholders for future stories.",GAPS_ROUGH.txt,Fiction,
"The full story of **""Macula,"" the guy with studs in his eyes**, beyond his visual description and current desert dwelling.",GAPS_ROUGH.txt,Fiction,
"More specific instances of **""crazy hilljack shit""** beyond Scooter's dental story.",GAPS_ROUGH.txt,Fiction,
"The story behind **Tommy Estep and the ""knucklebar moustache""**.",GAPS_ROUGH.txt,Fiction,
**Other Works and Concepts**: Many older or tangential creative works are mentioned by title with minimal plot or thematic detail.,GAPS_ROUGH.txt,Fiction,
"The full story of **""The Discount Carter Emmett""**.",GAPS_ROUGH.txt,Fiction,
"Here is a comprehensive mind map of the material in the provided documents, categorizing content as fiction, memoir, or chat, and indicating where each topic is fleshed out or merely flagged for future exploration.",INDEX_ROUGH.txt,Fiction,
### **Mind Map of Documents & Conversation History**,INDEX_ROUGH.txt,Fiction,
"**Purpose**: Tracks files for ""Great Moments in My Personal Science History"" project.",INDEX_ROUGH.txt,Fiction,
"**""Council of Uncomfortable Critique Elders""**: Assembling a critical polyphony from various authors/thinkers for story feedback.",INDEX_ROUGH.txt,Fiction,
"**Purpose**: Testing story's resonance, moral, emotional, and stylistic resilience.",INDEX_ROUGH.txt,Fiction,
"**AI Setup for Emulation**: Uses Custom Instructions for ""personality grounding"" and pre-priming with real texts (essays, interviews, fiction excerpts).",INDEX_ROUGH.txt,Fiction,
**II. Fiction (User's Works)**,INDEX_ROUGH.txt,Fiction,
**Prick City Blues** (Unfinished Novel) - **Fleshed Out**,INDEX_ROUGH.txt,Fiction,
"**The Hellfire Pigeon** (Unfinished Short, 2011) - **Fleshed Out**",INDEX_ROUGH.txt,Fiction,2011
"**Bent 'N' Dent** (Published Flash, 2004) - **Fleshed Out**",INDEX_ROUGH.txt,Fiction,2004
"**Motivations**: Titillate Myspace friends, showcase body mod scene, blend fictionalized anecdotes with sci-fi, blur reality/fiction, build underground following.",INDEX_ROUGH.txt,Fiction,
"**A Tealeaf from the Tangledays** (Finished Flash, 2017) - **Fleshed Out**",INDEX_ROUGH.txt,Fiction,2017
"**Miss Poughkeepsie 1954** (Finished Flash, 2011) - **Fleshed Out**",INDEX_ROUGH.txt,Fiction,1954
"**Nellibeth** (Published Short, 2012) - **Fleshed Out**",INDEX_ROUGH.txt,Fiction,2012
"**The Gilgamesh Golem** (Published Short, 2003) - **Fleshed Out**",INDEX_ROUGH.txt,Fiction,2003
**Fingertips** (Finished Vignette) - **Fleshed Out**,INDEX_ROUGH.txt,Fiction,
"**Character Development/Dialogue**: Implicit characterization, authentic dialogue, emotional realism, subtle growth/change.",INDEX_ROUGH.txt,Fiction,
"**Genre Blending/Subverting Expectations**: Fearless mixing, undermining reader expectations, irony & satire.",INDEX_ROUGH.txt,Fiction,
"Identity and Otherness, Power, Authority, Rebellion, Memory, History, Time, Ambiguity and Interpretation, Irony, Satire, Human Folly, Materiality and the Body.",INDEX_ROUGH.txt,Fiction,
**Author's Narrative Psyche (Speculative Synthesis)**: **Fleshed Out**,INDEX_ROUGH.txt,Fiction,
**III. Collaborative Story Writing (Chat)**,INDEX_ROUGH.txt,Fiction,
"**""The Wishing Heart"" / ""Kraken Mare Hunt""** (Titan Researcher Story) - **Fleshed Out**",INDEX_ROUGH.txt,Fiction,
"**Character**: Cale (jaded mid-level researcher, subtle father-daughter relationship with Ivery).",INDEX_ROUGH.txt,Fiction,
"**Original Intent (circa 2005)**: Titillate Myspace friends, explore body mod/transhumanism crossover, blur reality/fiction, build underground following.",INDEX_ROUGH.txt,Fiction,2005
"**Characters**: Gary, Peepers, Scooter, Opalline.",INDEX_ROUGH.txt,Fiction,
"**Concept**: Semi-autonomous, lo-fi AI theater livestream with virtual characters (Skyrim NPCs) mouthing text feeds.",INDEX_ROUGH.txt,Fiction,
**IV. Memoir (Personal History of Science)**,INDEX_ROUGH.txt,Fiction,
"**Overarching Theme**: The human side of science (quirks, humor, misadventures, eccentric characters, personal connections).",INDEX_ROUGH.txt,Fiction,
"**Scientific Mishap Tarot Deck**: Framework for memoir, each card a story/chapter, mapping liminal spaces of scientific culture.",INDEX_ROUGH.txt,Fiction,
"There’s the man cage, of course, or the story that started at all (stories on vinyl, analog monologues, The Way Station",LIST OF TOPICS.txt,Fiction,
"Oh, and museum change. As well as museum stasis. I am among the very few people that worked almost exactly the same amount of time at both the old COSI and the new COSI. Yes, we all miss the old place",LIST OF TOPICS.txt,Fiction,
"Nathan McKnight: A Mind Map of Creative Output, Personal History, and Collaborative Exploration",TIMELINE_ROUGH.txt,Fiction,
I. Personal History & Memoir [Memoir],TIMELINE_ROUGH.txt,Fiction,
AMNH Years (American Museum of Natural History),TIMELINE_ROUGH.txt,Fiction,
II. Fiction Projects & Creative Works,TIMELINE_ROUGH.txt,Fiction,
◦ Published/Finished Fiction [Fiction],TIMELINE_ROUGH.txt,Fiction,
"""Bent 'N' Dent"" (Published Flash, 2004): Intended to titillate MySpace friends; blends semi-autobiographical elements (moving to Florida with Peepers, her parents' dented-can store, pig sacrifice, chased by father) with body modification; ""psycho-literal punk pastoral"" vibe; blurs reality/fiction; builds underground following.",TIMELINE_ROUGH.txt,Fiction,2004
"Formal Observations: Characters have orbits, not arcs; objects carry emotional weight; pacing conversational/trimmed; subtly layered voice.",TIMELINE_ROUGH.txt,Fiction,
"Purpose: Giving self permission to have slight, maniacal internal editors; writing persona into being, letting line blur.",TIMELINE_ROUGH.txt,Fiction,
"Original Plot elements: Gary, busted-up discount store, pig-heavy scene, lunatic father.",TIMELINE_ROUGH.txt,Fiction,
"""A Tealeaf from the Tangledays"" (Finished Flash, 2017): Pseudo-scholarly article format with enigmatic references, then crude student notes; satire on fantasy lore and scholarship.",TIMELINE_ROUGH.txt,Fiction,2017
"""Miss Poughkeepsie 1954"" (Finished Flash, 2004): Satirizes beauty pageants; grotesque automaton wins; dry, amused tone; comedic effect with em-dash.",TIMELINE_ROUGH.txt,Fiction,1954
"""Nellibeth"" (Published Short, 2012): Contemporary Western with near-future sci-fi (synthetic meat, environmental tech); narrator with nuanced suspicion and hope; implicit characterization.",TIMELINE_ROUGH.txt,Fiction,2012
"""The Gilgamesh Golem"" (Published Short, 2003): Mythic fantasy, historical fiction, political allegory; golem's soliloquy, Paul in Jewish Harlem, landlord Israel ben Muhammad; blend of ancient/modern themes.",TIMELINE_ROUGH.txt,Fiction,2003
◦ Unfinished/In-Progress Fiction [Fiction],TIMELINE_ROUGH.txt,Fiction,
"""Prick City Blues"" (Unfinished Novel): Urban crime/noir with dystopian/alt-history flavor; Josey's observations, soot-stained foundations.",TIMELINE_ROUGH.txt,Fiction,
"""The Hellfire Pigeon"" (Unfinished Short, 2011): Coming-of-age with alt-history/steampunk fantasy; boy and Pa, fox hunts, school troubles, quads, cyborg-ostrich, hellfire jar; episodic structure.",TIMELINE_ROUGH.txt,Fiction,2011
"""The Appetite"" (Unfinished Short).",TIMELINE_ROUGH.txt,Fiction,
"""The Damps"" (Unfinished Short).",TIMELINE_ROUGH.txt,Fiction,
"""Three, In the Morning"" (Unfinished Short).",TIMELINE_ROUGH.txt,Fiction,
"""George & Maurice"" (Unfinished Short).",TIMELINE_ROUGH.txt,Fiction,
"""Kashmir Sky"" (Unfinished Short).",TIMELINE_ROUGH.txt,Fiction,
"◦ Project: ""The Wishing Heart"" (Titan Story) [Fiction]",TIMELINE_ROUGH.txt,Fiction,
"Core Plot: Researcher Cale on Titan, mundane duties, becomes obsessed with finding rare ""wishing heart"" organism for daughter Ivery.",TIMELINE_ROUGH.txt,Fiction,
"Characters: Cale (middle-aged, jaded, burnt-out researcher, once almost rising scientist); Ivery Gendolyn Gotschalb (daughter, coined ""wishing heart"" term); Hazel Fern Vesey (nee Shaw, ex-wife/mother).",TIMELINE_ROUGH.txt,Fiction,
"Themes: Identity, ambiguity, memory, history, power, absurdity (emerges from character/setting); desire for connection/beauty/lineage/love; philosophical questions.",TIMELINE_ROUGH.txt,Fiction,
"◦ Project: ""Bent 'N' Dent 2: The Dentening / Studs and Spinal Jacks"" [Fiction], [Memoir]",TIMELINE_ROUGH.txt,Fiction,
"Inspiration: Titillating MySpace friends (horny, social connections); semi-fictionalized real anecdotes (user's life, others' stories); body modification scene as ""cutting edge"" of transhumanism.",TIMELINE_ROUGH.txt,Fiction,
"Narrative Arc: Sequel to original ""Bent 'N' Dent,"" continuation of characters and mood; blurring reality/fiction for underground following.",TIMELINE_ROUGH.txt,Fiction,
"Characters: Peepers (clicks tongue, doesn't look); Opalline (ghost in side-mirror, ""i love you so much"" from buried Friendster cache).",TIMELINE_ROUGH.txt,Fiction,
"Theme: Human side of science (quirks, humor, misadventures, eccentric characters), science as lived experience.",TIMELINE_ROUGH.txt,Fiction,
"Flavor Arcs: Climactic, Vanishing, Echo, Pulse, False Climax arcs (storytelling shapes for flavor time).",TIMELINE_ROUGH.txt,Fiction,
"""Sasha's Last Three Drops"": LSD trip (see I. Personal History).",TIMELINE_ROUGH.txt,Fiction,
"""The Man Cage"": COSI 90s (see I. Personal History).",TIMELINE_ROUGH.txt,Fiction,
Knowledge Transmission as Linguistic Imperialism: Flowchart of coinage pathways from Latin/Greek roots through languages.,TIMELINE_ROUGH.txt,Fiction,
"◦ Core Goal: To ""absolutely nail not just my voice, but my thinking"" to ""be me in fiction, when asked"".",TIMELINE_ROUGH.txt,Fiction,
"""Bent 'N' Dent VR Studio"".",TIMELINE_ROUGH.txt,Fiction,
"Voice: Locked in—clove-stained, unfiltered, performatively sincere, laced with “horny weird Midwest pulp mystic.”",BENT N MORE.txt,Memoir,
Tone: Not nostalgia—necromancy. Stylized glitch-realism through Myspace-graffiti memoir style.,BENT N MORE.txt,Memoir,
"**Mid-Late 1990s Ohio State University Experiences**: This period covers several years, and individual events lack specific year markers:",GAPS_ROUGH.txt,Memoir,1990
Your consideration of taking **Dr. Dale Gnidovec's job at Orton Geological Museum**.,GAPS_ROUGH.txt,Memoir,
"**Late 1990s Post-College & Early Career at COSI**: Many anecdotes from your formative years at COSI lack precise dates, falling under a broad ""early career"" period:",GAPS_ROUGH.txt,Memoir,1990
"The **""Wild West"" of COSI** experiences, such as drinking liquid nitrogen, freezing pizza for Japanese tourists, and the ""Cyro breaking the window"" incident.",GAPS_ROUGH.txt,Memoir,
"The development of **""volunteer's compunction""**.",GAPS_ROUGH.txt,Memoir,
"The amusing lore about **U.S. Presidents being ""under 4 feet tall""** and the **""ghost in the elevator""** at COSI.",GAPS_ROUGH.txt,Memoir,
"**Memoir Project: ""Under the Dome of Fossils: Episodes in the Secret Lives of Science""**: While a framework for this memoir and some ""tentpost"" anecdotes have been identified, most ""side quests"" and ""texture & flavor"" details remain as prompts rather than full stories.",GAPS_ROUGH.txt,Memoir,
"**""Teddy Roosevelt's roast pig""** and **""Tibetan monks""** at AMNH parties.",GAPS_ROUGH.txt,Memoir,
"**""Exhibits that never were""** (COSI's Life exhibit, computer donations) and their connection to an ""expensive Irish dinner"".",GAPS_ROUGH.txt,Memoir,
"Specific anecdotes relating to **""Wisneland and science center monoculture""**.",GAPS_ROUGH.txt,Memoir,
"Details of **""gamification (in museums)""**.",GAPS_ROUGH.txt,Memoir,
"Anecdotes about **""people who get kicked out of science museums""**.",GAPS_ROUGH.txt,Memoir,
"**Project: ""One Drink"" / ""Last Drink"" Bar**: The concept is clearly defined, but specific, never-to-be-repeated cocktail creations and their accompanying customer interactions are not yet detailed.",GAPS_ROUGH.txt,Memoir,
"**Project: Mock High Sparrow Cocktail Recreation**: While the theoretical approach to flavor sequencing is discussed in depth, the practical ""getting weird in the kitchen"" anecdotes are not yet fully told.",GAPS_ROUGH.txt,Memoir,
"**""Dream Exhibits""**.",GAPS_ROUGH.txt,Memoir,
"**Core Idea**: Researcher Cale on Titan, finds rare ""wishing heart"" fossil, embarks on personal hunt for living specimen for daughter.",INDEX_ROUGH.txt,Memoir,
"**Structure**: Myspace-style serialized entries, fragmented, abrupt shifts, direct address.",INDEX_ROUGH.txt,Memoir,
"**Columbus Landmarks & Food Culture**: Apollo's Pizza, Tradewinds, Monkeys Retreat, basement sci-fi bookstore, Karen Wyckliff Books, Hounddog's, Bernie's (True Soul Rocker), Blue Dube, Magnolia Thunderpussy, Larry's.",INDEX_ROUGH.txt,Memoir,
"**""One Drink"" Bar Concept**: Tiny one-seat bar, rare booze, personal concoctions, foraging, memory-based drinks.",INDEX_ROUGH.txt,Memoir,
"**Mix CD Culture**: ""Two Tracks Only"" art, burning CDs as cultural manifestos, emotional intimacy, declared self.",INDEX_ROUGH.txt,Memoir,
"**Transition to Science Museum Career**: Picking up Dr. James Hughes in broken 1978 Corolla, car dies.",INDEX_ROUGH.txt,Memoir,1978
"**Chronological (Initial Idea)**: Preface (science geek, Pluto, trekkie) → COSI years → Interludes (college/geology, McGraw-Hill) → AMNH years.",INDEX_ROUGH.txt,Memoir,
"**Memoir as ""Confirmatory Apocrypha""**: Stories that perfectly fit a person's vibe, functioning more like folklore than evidence; mapping science's unconscious.",INDEX_ROUGH.txt,Memoir,
"**COSI Years (90s)**: First day (Betty Bryant, EG stories, jumping volunteer), presidents under 4 feet tall, ghost in elevator, using architecture for pedagogy, sleeping under desk, late night tours, vacuuming T-Rex toes, dusting meteorite, mornings at museum, Laura & battle hymn, lens in closet, man cage/Wild West (liquid nitrogen, freezing pizza, singed eyebrows, Pringle can, volunteer injury, sheep freezing).",INDEX_ROUGH.txt,Memoir,
"**AMNH Years**: Party dynamics, Teddy Roosevelt's roast pig, Tibetan monks, B-list celebrities vs. Sackler, playgrounds for rich (caviar, Pi, maids, Neanderthal), Ian Tattersall & Skyrim, coincidences (Megan Knight, Gwen, McKnight), Astronomy on Tap, Sexology on Tap.",INDEX_ROUGH.txt,Memoir,
"**Exhibits (Favorites & Dream)**: Slow Mo camera, SloMo building dial, fire tornado, tilted diner, video games & racing (enthusiasm training), Life exhibit decomposition (Irish dinner), no donations of goods.",INDEX_ROUGH.txt,Memoir,
"**Professional Pathologies**: Microscope neck (Bill Shiller), cellist's scrotum, volunteer's compunction (avoiding swearing), educator's husband, imposter syndrome, academic pressure, irrational fear of failure.",INDEX_ROUGH.txt,Memoir,
"**Philosophical/Pedagogical**: Academic infiltration of informal pedagogy, pathological science, teachers who care, unreasonable enthusiasm, gamification, architecture as pedagogy.",INDEX_ROUGH.txt,Memoir,
"And maybe museum lore, the sex life of scientist",LIST OF TOPICS.txt,Memoir,
Old COSI versus new,LIST OF TOPICS.txt,Memoir,
Mornings at the museum,LIST OF TOPICS.txt,Memoir,
"Old COSI, Laura, the battle hymn",LIST OF TOPICS.txt,Memoir,
"And on those lines, maybe what what who who (the AMNH party dynamic)",LIST OF TOPICS.txt,Memoir,
"and, the man cage leads to the wild West, a.k.a. what it was like, being a volunteer at COSI in the 90s",LIST OF TOPICS.txt,Memoir,
"Drinking liquid nitrogen, freezing pizza for Japanese tourists, honestly, all the things that used to be my good stories from science museums before AMNH",LIST OF TOPICS.txt,Memoir,
"All the singed eyebrows, the ear ringing Pringle can, the volunteer who sprayed some kind of cleaning fluid into a bottle and burnt himself, sheep freezing",LIST OF TOPICS.txt,Memoir,
"My favorite museum exhibits of all time, and my dream exhibits that should exist",LIST OF TOPICS.txt,Memoir,
"The difference between a science center and a museum, experience, wise and culturally",LIST OF TOPICS.txt,Memoir,
These are all science editorial stuff by the way,LIST OF TOPICS.txt,Memoir,
"the academic infiltration of informal pedagogy, and just where is the state of pathological science anyway?",LIST OF TOPICS.txt,Memoir,
"the first day at COSI (the undeniable Betty Bryant, EG stories and the jumping volunteer)",LIST OF TOPICS.txt,Memoir,
"more COSI lore (surprisingly all presidents of the United States have been under 4 feet tall, the ghost in the elevator [tying back to the other ghost in the other elevator and Margaret Meade’s bookplate",LIST OF TOPICS.txt,Memoir,
"using the architecture (pedagogy: creating connections, creating self reinforcing connections, the rocks of AMNH, the fossils of cosi (shit, I guess I used my geology there after all)",LIST OF TOPICS.txt,Memoir,
"microscope neck, cellist’s scrotum, volunteer’s compunction (cursing), educator’s husband, and other professional pathologies (real and imagined)",LIST OF TOPICS.txt,Memoir,
"and Bill Shiller had it, or maybe that was just somebody’s pet theory I don’t know. Volunteers compunction is how when somebody grows up in a science museum",LIST OF TOPICS.txt,Memoir,
"But volunteers compunction is the avoidance of swearing, even in one’s personal life where appropriate, may also include such habits as telling people “ walk, please” when visiting an amusement park",LIST OF TOPICS.txt,Memoir,
"Oh, and the best (and worst*) science jokes",LIST OF TOPICS.txt,Memoir,
"And of course, the one where Heisenberg gets pulled over and told he was going 90 miles an hour, to which he replies, great, now I’m lost! I feel like these another jokes can be sprinkled throughout. - Amongst them, chemistry bingo groaners.",LIST OF TOPICS.txt,Memoir,
And while I’m thinking about it other old time cosine stories like Cyro breaking the window,LIST OF TOPICS.txt,Memoir,
"But for God sake, our first floor exhibits still featured the Commodore 64 is in 1989. That whole era have already touched on in my stories I’ve mentioned about Andrea, Shelley, the material pursuit game",LIST OF TOPICS.txt,Memoir,1989
should also mention Wisneland and science center monoculture if I haven’t already,LIST OF TOPICS.txt,Memoir,
"AMNH geology curator, impressing him at a party by coming up with the off the cuff term pressure shadow off the top of my head without knowing that’s what it was really called",LIST OF TOPICS.txt,Memoir,
Now I wanna get some of my favorite exhibits down in a list,LIST OF TOPICS.txt,Memoir,
"Oh, and maybe an aside about video games and the science of racing",LIST OF TOPICS.txt,Memoir,
And there’s the people who get kicked out of science museums.,LIST OF TOPICS.txt,Memoir,
"there were the exhibits that never were (cosi’s Life exhibit about decomposition, and what it evolved into",LIST OF TOPICS.txt,Memoir,
"Living in the VOA Building, Columbus (2005): Shared space with glassblowers (Keikichi Honna), hot air balloon enthusiast, ceramist Kiera Norton; inadvertently managed property with Bill and Yuki.",TIMELINE_ROUGH.txt,Memoir,2005
"Columbus Cultural Landmarks: Reminiscences about Hounddog's, Mikey's, Apollo's (metal stairs), basement used bookstore, Karen Wyckliff Books, Larry's, the Blue Danube, Bernie's (The Distillery, Bagels, Soul Rocker sandwich).",TIMELINE_ROUGH.txt,Memoir,
"Climbing in Okinawa without gloves (2005): Personal anecdote and metaphor for direct connection, pushing physical limits, feeling something real beyond performative life.",TIMELINE_ROUGH.txt,Memoir,2005
"◦ Scientific Career & Museum Life (COSI, McGraw-Hill, AMNH)",TIMELINE_ROUGH.txt,Memoir,
COSI Years (Old & New),TIMELINE_ROUGH.txt,Memoir,
"Working as ""principal"" of middle school program (problem students in office).",TIMELINE_ROUGH.txt,Memoir,
"""Wild West"" of COSI in '90s (liquid nitrogen drinking, freezing pizza for Japanese tourists, singed eyebrows, Pringle can, cleaning fluid volunteer, sheep freezing).",TIMELINE_ROUGH.txt,Memoir,
"""First day at COSI"": Betty Bryant, EG stories, jumping volunteer.",TIMELINE_ROUGH.txt,Memoir,
"""More COSI lore"": Presidents under 4 feet tall (humorous), ghost in the elevator.",TIMELINE_ROUGH.txt,Memoir,
"""Old COSI vs. new COSI"": Worked same amount of time at both; Commodore 64s in 1989 exhibits; Wisneland, science center monoculture.",TIMELINE_ROUGH.txt,Memoir,1989
"""Favorite Exhibits"": Slow-Mo camera/building dial, fire tornado, tilted diner.",TIMELINE_ROUGH.txt,Memoir,
"""Exhibits that never were"": Decomposition exhibit (and its evolution into expensive Irish dinner), never taking computer donations.",TIMELINE_ROUGH.txt,Memoir,
